ARTIST,TITLE,UNIFIED_SONG_ID,DATE,RELEASE_DATE,THIS_DAY,THIS_WEEK,DAYS_SINCE_RELEASE,DAY_OF_WEEK,RN,END_OF_WEEK,POPULARITY,SPOTIFY_FOLLOWER_COUNT,SPOTIFY_LISTENERS_COUNT,SPFOLDAY0,SPFOLDAY1,SPFOLDAY2,SPFOLDAY3,SPFOLDAY4,SPFOLDAY5,SPFOLDAY6,SPLISDAY0,SPLISDAY1,SPLISDAY2,SPLISDAY3,SPLISDAY4,SPLISDAY5,SPLISDAY6,DAY_0,DAY_1,DAY_2,DAY_3,DAY_4,DAY_5,DAY_6,TARGET,IG_FOLLOWER_COUNT,IGFOLDAY0,IGFOLDAY1,IGFOLDAY2,IGFOLDAY3,IGFOLDAY4,IGFOLDAY5,IGFOLDAY6
Ed Sheeran,F64,198040935,2023-01-19,2023-01-19T00:00:00.000Z,65824,0,0,6,1,true,54,108048621,81723572,108048621,,,,,,,81723572,,,,,,,65824,,,,,,,1646209,41832386,41832386,,,,,,
Diamond Platnumz,Yatapita,198137718,2023-01-26,2023-01-20T00:00:00.000Z,4236,3,6,6,1,true,45,603666,1464879,603666,602835,602059,601210,600237,599798,599358,1464879,1473172,1479454,1479454,1487000,1488099,1488099,4236,3702,2990,3377,3343,4554,4260,24753,15662555,15662555,15658691,15655653,15652632,15649476,15645983,15643401
Nathan Dawe X Bru-C,Oh Baby (Feat. Bshp & Issey Cr,198141933,2023-02-09,2023-02-03T00:00:00.000Z,7358,20,6,6,1,true,52,2396,2249561,2396,2386,207866,207536,2192,207171,2195,2249561,2189056,2499088,2476810,224385,2376004,1858543,7358,6890,6635,5542,4980,5766,6028,42361,156832,156832,4976,240454,240382,7462,7453,240223
goddard. X Greentea Peng,Downers (Rework),198141934,2023-02-09,2023-02-03T00:00:00.000Z,4872,11,6,6,1,true,46,285320,1401261,285320,285081,28379,284601,284359,28185,27940,1401261,1395838,4549041,1384239,1378411,4518328,4535800,4872,3789,3788,3327,3430,4395,6167,26579,30000,30000,29937,29894,255169,255002,254772,254449
YTB Trench,Why You Leave,198141967,2023-01-26,2023-01-20T00:00:00.000Z,9,1,6,6,1,true,12,11222,173120,11222,11207,11201,11195,11183,11178,11164,173120,173046,172910,172470,171828,171301,171152,9,11,35,21,23,195,5759,42601,64544,64544,64478,64444,64442,64412,64386,64335
Bankrol Hayden,Can'T Change For You (Feat. Ch,198141968,2023-01-19,2023-01-19T00:00:00.000Z,80,,0,6,1,true,11,173783,3189439,173783,,,,,,,3189439,,,,,,,80,,,,,,,410250,716343,716343,,,,,,
Sett,Take Down,198142495,2023-01-19,2023-01-19T00:00:00.000Z,3049,,0,6,1,true,15,3118,77253,3118,,,,,,,77253,,,,,,,3049,,,,,,,44477,72419,72419,,,,,,
A R I Z O N A,Moving On,198142497,2023-02-09,2023-02-08T00:00:00.000Z,32902,0,1,6,1,true,0,397432,1988751,397432,397378,,,,,,1988751,1988904,,,,,,32902,36289,,,,,,243486,69846,69846,69726,,,,,
Portugal. The Man,Dummy,198142498,2023-03-02,2023-03-01T00:00:00.000Z,74033,0,1,6,1,true,0,1357523,5853353,1357523,1357344,,,,,,5853353,5836697,,,,,,74033,37901,,,,,,739972,229793,229793,229784,,,,,
Jasiah,Killers And Robbers (Feat. Den,198142507,2023-01-26,2023-01-20T00:00:00.000Z,43518,20,6,6,1,true,35,169657,2047314,169657,291491,332941,169020,332494,2089586,168545,2047314,794405,2498243,2016877,2452670,7316983,1974752,43518,42645,45863,45537,38728,44155,62052,190921,143640,143640,142646,2103145,142469,508462,142317,142138
